id_map;start;target;path_cost;bench_time;run_time;expanded;generated;heapops
London_0_512;(241, 44);(503, 503);782.5637656105196;3800989;3800989.2;1990;2143;4014
London_0_512;(79, 139);(97, 338);231.8869063112626;314167;314167.5;218;242;457
London_0_512;(167, 347);(440, 398);292.1481758117225;63027;63027.5;36;50;85
London_0_512;(290, 371);(58, 20);433.84689102662924;221556;221556.4;83;119;201
London_0_512;(285, 401);(420, 414);135.6244815658294;18396;18396.3;7;13;19
London_0_512;(400, 33);(402, 64);47.487455538595576;54955;54955.7;40;51;90
London_0_512;(475, 479);(143, 350);361.5938724858931;80636;80636.8;46;56;101
London_0_512;(364, 72);(62, 24);461.4783462739432;786034;786034.3;852;911;1754
London_0_512;(274, 431);(154, 4);463.7958191344862;924931;924931.1;594;673;1233
London_0_512;(67, 418);(63, 35);426.14485038011946;1573957;1573957.5;665;726;1371
London_0_512;(276, 326);(162, 391);131.2288078129189;60967;60967.5;10;18;27
London_0_512;(369, 325);(348, 410);87.55569655939013;49966;49966.5;12;19;30
London_0_512;(7, 375);(56, 362);50.695167422546305;48720;48720.8;3;5;7
London_0_512;(166, 374);(326, 344);162.78820596099706;26312;26312.7;6;12;17
London_0_512;(176, 370);(210, 316);63.812224534175265;24735;24735.9;7;14;20
London_0_512;(156, 257);(115, 57);264.60497959136165;543575;543575.7;476;544;1003
London_0_512;(327, 88);(337, 484);497.82132280946274;447644;447644.1;194;212;405
London_0_512;(286, 12);(72, 331);639.8540631050233;1583444;1583444.2;920;994;1886
London_0_512;(503, 98);(375, 417);392.0340321054165;862469;862469.1;483;558;1017
London_0_512;(359, 125);(254, 451);342.4945189501925;128761;128761.0;12;20;31
London_0_512;(495, 125);(258, 511);501.52221483324706;822053;822053.8;425;502;903
London_0_512;(12, 115);(77, 334);228.81749566345724;244897;244897.7;64;76;138
London_0_512;(434, 117);(277, 401);340.96382495040405;378600;378600.5;122;151;266
London_0_512;(406, 359);(199, 411);215.63272847089192;101642;101642.6;8;17;24
London_0_512;(335, 208);(150, 478);327.29955698106284;88855;88855.4;20;29;48
London_0_512;(416, 457);(396, 447);22.360679774997898;31447;31447.5;4;7;10
London_0_512;(24, 254);(510, 422);535.7207646157897;588105;588105.0;153;197;349
London_0_512;(61, 353);(164, 370);104.39348638684312;57114;57114.1;7;13;19
London_0_512;(473, 147);(2, 272);490.43205084904;66036;66036.0;34;45;78
London_0_512;(292, 260);(223, 294);76.92203845452875;63205;63205.7;10;14;23
London_0_512;(372, 170);(362, 481);330.05749262870967;201309;201309.5;98;118;215
London_0_512;(427, 219);(3, 98);489.9296197690556;1318121;1318121.1;1340;1449;2752
London_0_512;(308, 462);(409, 34);452.2838510753;381215;381215.7;187;220;406
London_0_512;(355, 379);(479, 260);201.03801856894776;196811;196811.9;71;101;171
London_0_512;(66, 405);(92, 267);147.4215370659165;147096;147096.9;28;36;63
