exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
Experiment #2359;False;AnyaSearch;24112.2;24112.2;2;2;3;(71,8);(665,424);946.365;-1;AcrosstheCape.map
Experiment #2360;False;AnyaSearch;15994.3;15994.3;3;3;5;(671,3);(54,437);947.992;-1;AcrosstheCape.map
Experiment #2361;False;AnyaSearch;60896.1;60896.1;4;4;7;(648,590);(38,41);948.401;-1;AcrosstheCape.map
Experiment #2362;False;AnyaSearch;20689.4;20689.4;21;21;41;(329,27);(715,726);950.886;-1;AcrosstheCape.map
Experiment #2363;False;AnyaSearch;20086.2;20086.2;3;3;5;(724,685);(56,271);949.151;-1;AcrosstheCape.map
Experiment #2364;False;AnyaSearch;94910.8;94910.8;19;19;37;(724,276);(15,226);951.105;-1;AcrosstheCape.map
Experiment #2365;False;AnyaSearch;24787.0;24787.0;17;19;33;(661,285);(50,498);951.176;-1;AcrosstheCape.map
Experiment #2366;False;AnyaSearch;20639.1;20639.1;19;20;37;(706,634);(32,275);949.774;-1;AcrosstheCape.map
Experiment #2367;False;AnyaSearch;20766.6;20766.6;17;17;33;(693,222);(87,726);951.318;-1;AcrosstheCape.map
Experiment #2368;False;AnyaSearch;19995.7;19995.7;4;4;7;(610,153);(41,86);950.891;-1;AcrosstheCape.map
Experiment #2369;False;AnyaSearch;8039.5;8039.5;11;11;21;(101,277);(739,663);950.916;-1;AcrosstheCape.map
Experiment #2370;False;AnyaSearch;5572.6;5572.6;10;10;19;(741,655);(123,704);948.436;-1;AcrosstheCape.map
Experiment #2371;False;AnyaSearch;28425.7;28425.7;18;18;35;(676,601);(50,52);955.029;-1;AcrosstheCape.map
Experiment #2372;False;AnyaSearch;24399.4;24399.4;4;4;7;(85,675);(640,725);954.286;-1;AcrosstheCape.map
Experiment #2373;False;AnyaSearch;77016.3;77016.3;23;23;45;(3,254);(737,136);955.519;-1;AcrosstheCape.map
Experiment #2374;False;AnyaSearch;73418.4;73418.4;45;49;89;(49,618);(762,175);954.188;-1;AcrosstheCape.map
Experiment #2375;False;AnyaSearch;32341.6;32341.6;2;2;3;(130,212);(662,9);952.235;-1;AcrosstheCape.map
Experiment #2376;False;AnyaSearch;16126.6;16126.6;10;10;19;(640,690);(13,222);953.85;-1;AcrosstheCape.map
Experiment #2377;False;AnyaSearch;28598.1;28598.1;11;11;21;(429,719);(33,8);954.034;-1;AcrosstheCape.map
Experiment #2378;False;AnyaSearch;24004.8;24004.8;17;17;33;(616,267);(60,570);952.762;-1;AcrosstheCape.map
Experiment #2379;False;AnyaSearch;93373.5;93373.5;18;18;35;(7,131);(637,654);954.502;-1;AcrosstheCape.map
Experiment #2380;False;AnyaSearch;20291.2;20291.2;2;2;3;(719,82);(49,300);952.874;-1;AcrosstheCape.map
Experiment #2381;False;AnyaSearch;16076.4;16076.4;3;3;5;(33,710);(610,708);959.399;-1;AcrosstheCape.map
Experiment #2382;False;AnyaSearch;24736.0;24736.0;9;9;17;(675,42);(100,184);957.59;-1;AcrosstheCape.map
Experiment #2383;False;AnyaSearch;32002.4;32002.4;14;14;27;(690,18);(69,536);959.146;-1;AcrosstheCape.map
Experiment #2384;False;AnyaSearch;64622.3;64622.3;12;12;23;(6,277);(687,672);959.252;-1;AcrosstheCape.map
Experiment #2385;False;AnyaSearch;39594.3;39594.3;32;32;63;(113,569);(659,312);956.36;-1;AcrosstheCape.map
Experiment #2386;False;AnyaSearch;16263.1;16263.1;18;18;35;(24,441);(757,87);956.703;-1;AcrosstheCape.map
Experiment #2387;False;AnyaSearch;27999.9;27999.9;15;15;29;(19,731);(654,210);956.916;-1;AcrosstheCape.map
Experiment #2388;False;AnyaSearch;35535.8;35535.8;13;13;25;(2,615);(705,636);957.428;-1;AcrosstheCape.map
Experiment #2389;False;AnyaSearch;16001.8;16001.8;2;2;3;(762,743);(88,616);959.909;-1;AcrosstheCape.map
Experiment #2390;False;AnyaSearch;52485.0;52485.0;33;33;65;(162,717);(705,115);959.59;-1;AcrosstheCape.map
Experiment #2391;False;AnyaSearch;24005.4;24005.4;5;5;9;(730,713);(18,352);960.779;-1;AcrosstheCape.map
Experiment #2392;False;AnyaSearch;15698.2;15698.2;2;2;3;(748,35);(67,531);961.999;-1;AcrosstheCape.map
Experiment #2393;False;AnyaSearch;32459.1;32459.1;17;17;33;(617,137);(2,101);962.159;-1;AcrosstheCape.map
Experiment #2394;False;AnyaSearch;4138.0;4138.0;4;4;7;(622,696);(1,651);962.482;-1;AcrosstheCape.map
Experiment #2395;False;AnyaSearch;24744.9;24744.9;5;5;9;(691,689);(74,700);963.754;-1;AcrosstheCape.map
Experiment #2396;False;AnyaSearch;24638.9;24638.9;20;20;39;(694,179);(105,76);961.72;-1;AcrosstheCape.map
Experiment #2397;False;AnyaSearch;16123.7;16123.7;7;7;13;(106,652);(740,155);962.543;-1;AcrosstheCape.map
Experiment #2398;False;AnyaSearch;24110.0;24110.0;14;14;27;(17,8);(617,575);962.259;-1;AcrosstheCape.map
Experiment #2399;False;AnyaSearch;129211.3;129211.3;82;88;163;(39,50);(654,201);962.632;-1;AcrosstheCape.map
Experiment #2400;False;AnyaSearch;185997.1;185997.1;54;56;107;(28,435);(736,702);960.092;-1;AcrosstheCape.map
Experiment #2401;False;AnyaSearch;15630.8;15630.8;4;4;7;(349,740);(50,4);966.193;-1;AcrosstheCape.map
Experiment #2402;False;AnyaSearch;64353.6;64353.6;22;22;43;(742,118);(50,624);965.141;-1;AcrosstheCape.map
Experiment #2403;False;AnyaSearch;24444.6;24444.6;3;3;5;(724,721);(85,201);966.945;-1;AcrosstheCape.map
Experiment #2404;False;AnyaSearch;53062.3;53062.3;31;31;61;(42,534);(742,44);966.212;-1;AcrosstheCape.map
Experiment #2405;False;AnyaSearch;32486.0;32486.0;3;3;5;(720,31);(61,266);966.489;-1;AcrosstheCape.map
Experiment #2406;False;AnyaSearch;24328.3;24328.3;3;3;5;(676,746);(17,336);966.737;-1;AcrosstheCape.map
Experiment #2407;False;AnyaSearch;86296.2;86296.2;35;36;69;(73,619);(759,724);965.281;-1;AcrosstheCape.map
Experiment #2408;False;AnyaSearch;34458.4;34458.4;15;15;29;(691,63);(86,309);965.389;-1;AcrosstheCape.map
Experiment #2409;False;AnyaSearch;174271.8;174271.8;51;56;101;(753,134);(128,664);966.2;-1;AcrosstheCape.map
Experiment #2410;False;AnyaSearch;12761.4;12761.4;2;2;3;(757,24);(55,503);966.585;-1;AcrosstheCape.map
Experiment #2411;False;AnyaSearch;16033.2;16033.2;3;3;5;(3,684);(628,162);971.933;-1;AcrosstheCape.map
