exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1563;True;AnyaSearch;1613873;1613873.5;1690;2506;3662;(145,18);(466,443);627.81327514;575.3912104798444;16room_004.map
1564;True;AnyaSearch;2271975;2271975.8;2468;3597;5219;(33,209);(503,446);627.61731567;579.7980105607656;16room_004.map
1565;True;AnyaSearch;1937218;1937218.6;2147;3164;4584;(50,166);(477,470);625.35743103;573.2485693962421;16room_004.map
1566;True;AnyaSearch;1648890;1648890.5;1752;2624;3794;(83,51);(461,427);625.95541076;572.6285026878382;16room_004.map
1567;True;AnyaSearch;3074165;3074165.4;3259;4730;6776;(397,21);(70,405);626.12698364;576.7315407891912;16room_004.map
1568;True;AnyaSearch;2074306;2074306.5;2193;3179;4670;(151,388);(486,3);624.74220733;571.6842926241276;16room_004.map
1569;True;AnyaSearch;1656395;1656395.1;1717;2525;3716;(394,40);(125,494);626.42849884;572.6518957147571;16room_004.map
1570;True;AnyaSearch;2353071;2353071.3;2469;3629;5275;(17,498);(227,28);626.65894623;578.3562296077486;16room_004.map
1571;True;AnyaSearch;1465897;1465897.1;1637;2418;3517;(4,273);(463,11);629.49956665;579.0599620912701;16room_004.map
1572;True;AnyaSearch;1346714;1346714.7;1361;1998;2986;(404,490);(114,43);628.8549057;577.4275698176756;16room_004.map
1573;True;AnyaSearch;1787401;1787401.6;1901;2754;4076;(426,59);(66,444);631.29855652;579.4866512457096;16room_004.map
1574;True;AnyaSearch;2320377;2320377.8;2422;3553;5169;(19,503);(227,27);628.31580047;580.0016463008639;16room_004.map
1575;True;AnyaSearch;1797570;1797570.7;1868;2754;4039;(131,484);(409,31);631.60007171;576.3091440624324;16room_004.map
1576;True;AnyaSearch;2378028;2378028.0;2589;3730;5423;(49,446);(498,198);631.35743103;577.9678512255897;16room_004.map
1577;True;AnyaSearch;2720900;2720900.3;2867;4199;6056;(183,501);(456,57);630.97265472;578.282332335701;16room_004.map
