exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1315;True;AnyaSearch;15224216;15224216.3;21900;50726;51807;(487,1);(502,490);526.75230865;493.2733351595659;random512-20-8.map
1316;True;AnyaSearch;11637503;11637503.7;18936;42931;43156;(67,93);(476,320);526.94321747;474.1596873501083;random512-20-8.map
1317;True;AnyaSearch;14856814;14856814.4;24419;57057;55456;(59,475);(465,241);524.60007171;475.2210341416707;random512-20-8.map
1318;True;AnyaSearch;10474492;10474492.1;17073;39306;39019;(3,392);(429,191);525.90158691;476.9879127460189;random512-20-8.map
1319;True;AnyaSearch;18119025;18119025.5;28065;64369;64567;(131,104);(476,412);525.88434295;471.2161287193009;random512-20-8.map
1320;True;AnyaSearch;14395545;14395545.0;21694;50514;51995;(45,104);(351,452);525.71277008;469.1908662591502;random512-20-8.map
1321;True;AnyaSearch;19885936;19885936.6;26026;60659;62484;(432,50);(254,490);528.61731567;480.5341198554834;random512-20-8.map
1322;True;AnyaSearch;10986503;10986503.2;15718;36375;37974;(480,381);(163,38);529.95541076;473.3441313211583;random512-20-8.map
1323;True;AnyaSearch;17095213;17095213.8;25832;59115;61186;(209,85);(465,470);528.77164459;469.47021193749896;random512-20-8.map
1324;True;AnyaSearch;21234025;21234025.9;31720;74660;74723;(97,417);(355,20);529.5411972;480.1556293112029;random512-20-8.map
1325;True;AnyaSearch;13047422;13047422.3;20849;49572;50245;(50,137);(362,488);530.02647857;475.12352520413583;random512-20-8.map
1326;True;AnyaSearch;15465879;15465879.2;22223;51071;52533;(401,151);(76,484);528.78383789;472.4869688062406;random512-20-8.map
1327;True;AnyaSearch;12832012;12832012.5;20396;47237;47786;(422,461);(78,146);528.36962433;472.58705107467057;random512-20-8.map
1328;True;AnyaSearch;14051976;14051976.8;21589;49975;52484;(437,18);(284,471);529.40411224;484.1051674710873;random512-20-8.map
1329;True;AnyaSearch;17073666;17073666.9;26113;60941;60013;(153,455);(510,150);531.95541076;477.03107936390836;random512-20-8.map
1330;True;AnyaSearch;11884345;11884345.2;17812;41740;44332;(104,2);(119,495);531.82337646;497.16124720668523;random512-20-8.map
1331;True;AnyaSearch;12515024;12515024.5;18821;43793;45544;(209,14);(503,381);533.29855652;475.61211225606223;random512-20-8.map
1332;True;AnyaSearch;13659897;13659897.3;19028;44072;45236;(3,388);(325,39);533.92597351;480.4095892632606;random512-20-8.map
1333;True;AnyaSearch;11020972;11020972.8;15839;36484;37469;(28,382);(415,117);532.1564209;476.86866964472455;random512-20-8.map
1334;True;AnyaSearch;8245522;8245522.6;13277;30723;29981;(501,288);(7,329);533.55129852;499.41355417028234;random512-20-8.map
1335;True;AnyaSearch;13438193;13438193.1;21460;49001;50275;(508,68);(165,390);532.02647857;477.2578552614075;random512-20-8.map
1336;True;AnyaSearch;17056689;17056689.0;25089;59014;59841;(407,493);(109,127);532.78383789;478.59667964997954;random512-20-8.map
1337;True;AnyaSearch;7062725;7062725.1;12039;28261;27503;(506,281);(22,193);534.1076477;496.03994092788133;random512-20-8.map
1338;True;AnyaSearch;14306370;14306370.3;22321;51153;52171;(120,6);(460,329);532.36962433;475.2285939836939;random512-20-8.map
1339;True;AnyaSearch;16004214;16004214.5;24756;57912;59780;(359,3);(509,465);533.98989868;490.7911809213159;random512-20-8.map
1340;True;AnyaSearch;26056115;26056115.0;37821;89727;88813;(229,457);(52,20);533.54624786;478.51884740379546;random512-20-8.map
1341;True;AnyaSearch;13886517;13886517.0;19805;45711;45350;(42,163);(461,396);536.60007171;485.55554439218474;random512-20-8.map
1342;True;AnyaSearch;16633015;16633015.0;23505;54056;54714;(143,373);(497,53);538.68333282;484.2884554197916;random512-20-8.map
1343;True;AnyaSearch;16950018;16950018.5;24830;58148;55347;(11,297);(447,88);539.21529541;490.1462589805507;random512-20-8.map
1344;True;AnyaSearch;14593292;14593292.9;21875;50738;52336;(95,441);(367,44);537.78383789;487.84866542624036;random512-20-8.map
1345;True;AnyaSearch;16600721;16600721.3;25738;58965;59015;(92,14);(463,306);536.12698364;479.100207463099;random512-20-8.map
1346;True;AnyaSearch;27561687;27560687.4;47827;111208;105319;(458,227);(78,504);539.39906158;481.61083101911527;random512-20-8.map
1347;True;AnyaSearch;8147814;8147814.7;16282;38049;37572;(478,463);(45,261);536.24473266;483.46322372270686;random512-20-8.map
1348;True;AnyaSearch;10225022;10225022.4;20660;47758;49051;(382,68);(49,410);538.51175995;484.15032950523346;random512-20-8.map
1349;True;AnyaSearch;9767874;9767874.4;19784;45928;46942;(143,183);(492,506);539.02647857;481.15609347321265;random512-20-8.map
1350;True;AnyaSearch;15608022;15608022.2;30483;70452;70430;(450,500);(135,145);537.61226501;482.20932194133087;random512-20-8.map
1351;True;AnyaSearch;8521652;8521652.3;17837;41620;40898;(5,457);(455,276);540.10259704;490.38982797825616;random512-20-8.map
1352;True;AnyaSearch;10110577;10110577.5;21721;49606;49227;(39,77);(453,315);542.60007171;485.84679579535276;random512-20-8.map
1353;True;AnyaSearch;14254414;14254414.1;30074;69274;66518;(510,67);(67,261);541.41630554;491.55233573317605;random512-20-8.map
1354;True;AnyaSearch;10103946;10103946.4;21401;49826;48839;(463,366);(49,119);543.25692596;488.65563321924645;random512-20-8.map
1355;True;AnyaSearch;11158144;11158144.0;23127;53400;54067;(52,108);(400,437);542.26911926;485.1168015500799;random512-20-8.map
1356;True;AnyaSearch;15255070;15255070.4;31087;71838;72131;(500,486);(190,118);543.8549057;489.8560277732733;random512-20-8.map
1357;True;AnyaSearch;6929222;6929222.2;14909;35126;33345;(502,354);(2,363);541.30865784;506.3591595780091;random512-20-8.map
1358;True;AnyaSearch;11906005;11906005.8;22984;55206;56763;(319,510);(187,34);542.4335495;498.8313571247191;random512-20-8.map
1359;True;AnyaSearch;9560572;9560572.1;20658;47582;47099;(28,100);(463,313);543.97265472;490.31154451499805;random512-20-8.map
1360;True;AnyaSearch;9209033;9209033.4;20012;46433;44426;(510,500);(17,438);540.27922058;501.6651278208388;random512-20-8.map
1361;True;AnyaSearch;15919215;15919215.3;31588;73562;74953;(229,24);(440,462);545.31580047;493.3195730806495;random512-20-8.map
1362;True;AnyaSearch;7780216;7780216.9;16165;37072;38738;(40,90);(408,404);547.26911926;489.72392524127446;random512-20-8.map
1363;True;AnyaSearch;8644403;8644403.6;18470;43615;41671;(483,195);(35,0);544.8305191;493.33019722839396;random512-20-8.map
1364;True;AnyaSearch;11442430;11442430.1;22668;52212;54833;(465,477);(307,8);546.64675293;500.8587146049685;random512-20-8.map
1365;True;AnyaSearch;12823055;12823055.6;26581;61818;61282;(507,117);(133,424);547.44069214;491.2481493338789;random512-20-8.map
1366;True;AnyaSearch;9559322;9559322.6;19453;45287;46186;(441,172);(97,511);547.09754638;488.79287454983523;random512-20-8.map
1367;True;AnyaSearch;11094321;11094321.7;22044;51230;53534;(406,25);(200,467);545.97265472;492.9443234643721;random512-20-8.map
1368;True;AnyaSearch;13460117;13460117.9;27512;63947;63895;(439,57);(92,396);545.41125488;492.27982703250484;random512-20-8.map
1369;True;AnyaSearch;9367542;9367542.5;19817;46083;45056;(35,297);(486,486);545.34523773;496.1807856122991;random512-20-8.map
1370;True;AnyaSearch;16900057;16900057.6;34634;80496;79209;(490,483);(168,126);547.44069214;489.1762018857551;random512-20-8.map
1371;True;AnyaSearch;11396219;11396219.1;21380;49522;52371;(72,453);(307,17);550.91378021;500.3567114005018;random512-20-8.map
1372;True;AnyaSearch;10717439;10717439.2;20643;48942;51183;(161,491);(314,16);549.88939361;505.3773073535675;random512-20-8.map
1373;True;AnyaSearch;13763199;13763199.1;26892;63058;64741;(14,61);(236,499);551.28636322;497.3680084251764;random512-20-8.map
1374;True;AnyaSearch;13348305;13348305.3;25813;60638;63090;(96,27);(227,511);549.19090881;507.06409283661594;random512-20-8.map
1375;True;AnyaSearch;16208009;16208009.5;31767;74187;75149;(506,44);(268,471);549.60007171;495.4684786567011;random512-20-8.map
1376;True;AnyaSearch;16697894;16697894.9;33365;77303;76600;(497,22);(153,368);549.99704132;496.0533444612669;random512-20-8.map
1377;True;AnyaSearch;12630498;12630498.5;25154;58842;59860;(341,418);(40,50);549.19805145;491.4380146419107;random512-20-8.map
1378;True;AnyaSearch;11035657;11035657.2;22139;51385;53844;(399,30);(193,475);550.1442276;496.2012164945427;random512-20-8.map
1379;True;AnyaSearch;10877432;10877432.0;23196;54078;51327;(14,60);(484,228);551.88939361;504.82481789969;random512-20-8.map
1380;True;AnyaSearch;27637249;27637249.1;58984;135621;124887;(52,63);(511,238);549.93102417;502.7048015668401;random512-20-8.map
1381;True;AnyaSearch;12989507;12989507.2;27073;62318;62448;(92,77);(475,375);553.19805145;492.97785566805953;random512-20-8.map
1382;True;AnyaSearch;18979784;18979784.2;38425;89090;87227;(449,489);(124,129);553.78383789;494.68353770989216;random512-20-8.map
1383;True;AnyaSearch;8231307;8231307.8;17146;39706;39275;(24,385);(468,176);552.04372253;499.57859410810124;random512-20-8.map
1384;True;AnyaSearch;12888666;12888666.2;27355;64533;61919;(8,318);(417,39);555.02647857;501.8626786034998;random512-20-8.map
1385;True;AnyaSearch;11621937;11621937.0;24606;57441;55191;(4,129);(446,347);553.38686828;498.99804703039285;random512-20-8.map
1386;True;AnyaSearch;15688425;15688425.8;31492;73027;75043;(47,482);(235,21);555.17366485;504.7050021107341;random512-20-8.map
1387;True;AnyaSearch;16682584;16682584.3;34615;80179;76473;(40,119);(456,379);555.32799377;498.35687896012223;random512-20-8.map
1388;True;AnyaSearch;14102851;14102851.1;27276;63892;65624;(438,11);(303,496);555.50461731;509.1062275626922;random512-20-8.map
1389;True;AnyaSearch;10434202;10434202.9;20331;47910;50053;(275,476);(473,23);554.58787842;499.77154380213426;random512-20-8.map
1390;True;AnyaSearch;9570453;9570453.5;20038;46821;45141;(30,492);(495,314);553.03152923;503.6533494979671;random512-20-8.map
1391;True;AnyaSearch;10964274;10964274.8;22341;51443;52013;(463,145);(75,454);558.16861419;502.16762129457567;random512-20-8.map
1392;True;AnyaSearch;9684841;9684841.1;20560;48042;46865;(50,395);(493,164);559.77164459;505.16203584831976;random512-20-8.map
1393;True;AnyaSearch;12433768;12433768.4;26077;60449;59313;(82,289);(494,20);556.22748871;500.85597186323406;random512-20-8.map
